# omega (eV)     <Re(Eps)>     <Im(Eps)>
9.87987988    -1.14897154    0.70645515
9.89489490    -1.14227191    0.69914023
9.90990991    -1.13272918    0.69074391
9.92492492    -1.11979286    0.68340853
9.93993994    -1.10441154    0.67928000
9.95495495    -1.08872402    0.67975878
9.96996997    -1.07585593    0.68466073
9.98498499    -1.06823797    0.69121493
10.00000000    -1.06529849    0.69562626
10.01501501    -1.06397542    0.69614606
10.03003003    -1.06171308    0.69388189
10.04504505    -1.05806721    0.69047892
10.06006006    -1.05316581    0.68662641
10.07507508    -1.04696451    0.68305933
10.09009009    -1.03996449    0.68059605
10.10510510    -1.03311721    0.67958229
10.12012012    -1.02736302    0.67960505
10.13513514    -1.02292509    0.67990561
10.15015015    -1.01977279    0.68033783
10.16516516    -1.01888166    0.68049415
10.18018018    -1.02046927    0.67790023
10.19519520    -1.02146292    0.67074364
10.21021021    -1.01859376    0.66102324
10.22522523    -1.01164273    0.65208046
10.24024024    -1.00238684    0.64602641
10.25525525    -0.99331190    0.64332150
10.27027027    -0.98647785    0.64261335
10.28528529    -0.98215368    0.64149835
10.30030030    -0.97853168    0.63864755
10.31531531    -0.97410797    0.63502762
10.33033033    -0.96919782    0.63175278
10.34534535    -0.96439229    0.62888888
10.36036036    -0.95983541    0.62629964
10.37537538    -0.95567122    0.62411972
10.39039039    -0.95254403    0.62229402
10.40540540    -0.95088942    0.61981652
10.42042042    -0.94977808    0.61572350
10.43543544    -0.94812945    0.61067723
10.45045045    -0.94669913    0.60549872
10.46546546    -0.94623029    0.59895339
10.48048048    -0.94538814    0.58985778
10.49549550    -0.94255451    0.57858971
10.51051051    -0.93651246    0.56629099
10.52552553    -0.92687683    0.55512762
10.54054054    -0.91531891    0.54708093
10.55555556    -0.90437166    0.54194553
10.57057057    -0.89517816    0.53777442
10.58558559    -0.88676195    0.53275781
10.60060060    -0.87710853    0.52705113
10.61561562    -0.86559531    0.52264531
10.63063063    -0.85372940    0.52106678
10.64564565    -0.84370622    0.52192476
10.66066066    -0.83640655    0.52314773
10.67567568    -0.83065382    0.52321617
10.69069069    -0.82512975    0.52232931
10.70570571    -0.81956585    0.52136044
10.72072072    -0.81480968    0.52067584
10.73573574    -0.81152577    0.51906474
10.75075075    -0.80837640    0.51517244
10.76576577    -0.80342512    0.50975756
10.78078078    -0.79637558    0.50458550
10.79579580    -0.78799728    0.50071643
10.81081081    -0.77922837    0.49857952
10.82582583    -0.77108150    0.49812350
10.84084084    -0.76446321    0.49869798
