# omega (eV)     <Re(Eps)>     <Im(Eps)>
6.92192192    -3.38128440    3.16575188
6.93693694    -3.32503737    3.13150701
6.95195195    -3.27893805    3.11493827
6.96696697    -3.24769139    3.10160259
6.98198198    -3.22249964    3.08250344
6.99699700    -3.19432501    3.06225777
7.01201201    -3.16678073    3.04937403
7.02702703    -3.14958543    3.04151812
7.04204204    -3.14536653    3.02816615
7.05705706    -3.14744093    2.99916213
7.07207207    -3.14098585    2.95142263
7.08708709    -3.11153669    2.89629015
7.10210210    -3.05882953    2.85369703
7.11711712    -2.99762945    2.83682944
7.13213213    -2.94633893    2.84372217
7.14714715    -2.91393088    2.86178900
7.16216216    -2.89852978    2.88101912
7.17717718    -2.89764903    2.89795670
7.19219219    -2.91197662    2.90868797
7.20720721    -2.94006746    2.90553116
7.22222222    -2.97457801    2.88158156
7.23723724    -3.00498636    2.83455291
7.25225225    -3.01923288    2.76780713
7.26726727    -3.00868338    2.69307734
7.28228228    -2.97500626    2.62417813
7.29729730    -2.92582498    2.56859871
7.31231231    -2.86796477    2.52927243
7.32732733    -2.80925109    2.50765182
7.34234234    -2.75776556    2.49897866
7.35735736    -2.71385286    2.49499984
7.37237237    -2.67177302    2.49347479
7.38738739    -2.62904030    2.49983698
7.40240240    -2.59128343    2.51930240
7.41741742    -2.56778556    2.55091485
7.43243243    -2.56687613    2.58626701
7.44744745    -2.58863771    2.61120243
7.46246246    -2.62343247    2.61593136
7.47747748    -2.65983297    2.59870631
7.49249249    -2.68879071    2.56314786
7.50750751    -2.70524309    2.51534657
7.52252252    -2.70745833    2.46094602
7.53753754    -2.69400098    2.40412297
7.55255255    -2.66265175    2.35240966
7.56756757    -2.61939419    2.31709697
7.58258258    -2.57939858    2.29944979
7.59759760    -2.55008104    2.28684367
7.61261261    -2.52316686    2.27048123
7.62762763    -2.49113743    2.25601231
7.64264264    -2.45791855    2.25027072
7.65765766    -2.42999033    2.25213429
7.67267267    -2.40921896    2.25731132
7.68768769    -2.39496230    2.26365793
7.70270270    -2.38798016    2.27008493
7.71771772    -2.38951636    2.27305024
7.73273273    -2.39659261    2.26721670
7.74774775    -2.40227900    2.25243461
7.76276276    -2.40447365    2.23366287
7.77777778    -2.40578137    2.21184644
7.79279279    -2.40518650    2.18389484
7.80780781    -2.39699309    2.15016446
7.82282282    -2.37822232    2.11748614
7.83783784    -2.35359284    2.09152718
7.85285285    -2.32825489    2.07059413
7.86786787    -2.30106272    2.05209605
7.88288288    -2.27075838    2.03930553
7.89789790    -2.24242745    2.03469378
7.91291291    -2.22020739    2.03406902
7.92792793    -2.20261162    2.03381250
7.94294294    -2.18852558    2.03376806
7.95795796    -2.17866016    2.03332573
7.97297297    -2.17354417    2.02981532
7.98798799    -2.16981366    2.01955146
8.00300300    -2.16130385    2.00471222
8.01801802    -2.14859325    1.99161374
8.03303303    -2.13667946    1.98018197
